# key	medias[0].media.originalUrl	medias[0].media.thumbnailUrl	medias[0].captionTitle.localizations[0].market	medias[0].captionTitle.localizations[0].lang	medias[0].captionTitle.localizations[0].value	medias[0].captionTitle.localizations[1].market	medias[0].captionTitle.localizations[1].lang	medias[0].captionTitle.localizations[1].value
TECHNIQUE_101855	http://monactifry.prod.apipro.groupe-seb.com/videos/58945.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58945.jpg	GS_NL	nl	Sperziebonen snijden			
TECHNIQUE_101846	http://monactifry.prod.apipro.groupe-seb.com/videos/58932.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58932.jpg	GS_NL	nl	Aardappels drogen			
TECHNIQUE_101852	http://monactifry.prod.apipro.groupe-seb.com/videos/58941.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58941.jpg	GS_NL	nl	Ananas			
TECHNIQUE_101848	http://monactifry.prod.apipro.groupe-seb.com/videos/58935.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58935.jpg	GS_NL	nl	De schil gebruiken			
TECHNIQUE_101842	http://monactifry.prod.apipro.groupe-seb.com/videos/58928.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58928.jpg	GS_NL	nl	Fijngesneden ui			
TECHNIQUE_101850	http://monactifry.prod.apipro.groupe-seb.com/videos/58939.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58939.jpg	GS_NL	nl	Gehaktbal			
TECHNIQUE_101859	http://monactifry.prod.apipro.groupe-seb.com/videos/58950.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58950.jpg	GS_NL	nl	Groenten			
TECHNIQUE_101853	http://monactifry.prod.apipro.groupe-seb.com/videos/58943.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58943.jpg	GS_NL	nl	Knoflook snijden			
TECHNIQUE_101851	http://monactifry.prod.apipro.groupe-seb.com/videos/58940.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58940_1.jpg	GS_NL	nl	Ananas snijden			
TECHNIQUE_101856	http://monactifry.prod.apipro.groupe-seb.com/videos/58946.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58946.jpg	GS_NL	nl	Schaaldieren			
TECHNIQUE_101844	http://monactifry.prod.apipro.groupe-seb.com/videos/58930.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58930.jpg	GS_NL	nl	Snijd bloemkool in roosjes			
TECHNIQUE_101845	http://monactifry.prod.apipro.groupe-seb.com/videos/58931.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58931.jpg	GS_NL	nl	Snijd in reepjes			
TECHNIQUE_101858	http://monactifry.prod.apipro.groupe-seb.com/videos/58948.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58948.jpg	GS_NL	nl	Tomaat schoonmaken			
TECHNIQUE_101857	http://monactifry.prod.apipro.groupe-seb.com/videos/58947.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58947.jpg	GS_NL	nl	Ui in reepjes			
TECHNIQUE_101849	http://monactifry.prod.apipro.groupe-seb.com/videos/58936.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58936.jpg	GS_NL	nl	Vlees			
TECHNIQUE_101843	http://monactifry.prod.apipro.groupe-seb.com/videos/58929.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58929.jpg	GS_NL	nl	Voeg een ActiFry lepel olie toe			
TECHNIQUE_101854	http://monactifry.prod.apipro.groupe-seb.com/videos/58944.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58944.jpg	GS_NL	nl	Zaadjes uit paprika verwijderen			
TECHNIQUE_101847	http://monactifry.prod.apipro.groupe-seb.com/videos/58933.mp4	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/58933.jpg	GS_NL	nl	Zelf frietjes maken			
TECHNIQUE_101782								
TECHNIQUE_100807	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8188.jpg		GS_FR	fr	Oignon émincé			
TECHNIQUE_100808	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8189.jpg		GS_FR	fr	Echalote émincée			
TECHNIQUE_100809	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8190.jpg		GS_FR	fr	Ail émincé			
TECHNIQUE_100810	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8191.jpg		GS_FR	fr	Aneth émincé			
TECHNIQUE_100811	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8192.jpg		GS_FR	fr	Champignon émincé			
TECHNIQUE_100812	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8193.jpg		GS_FR	fr	Gingembre émincé			
TECHNIQUE_100804	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8194.jpg		GS_FR	fr	Basilic ciselé			
TECHNIQUE_100805	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8195.jpg		GS_FR	fr	Cerfeuil ciselé			
TECHNIQUE_100806	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8196.jpg		GS_FR	fr	Estragon ciselé			
TECHNIQUE_100803	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8197.jpg		GS_FR	fr	Echalote ciselée			
TECHNIQUE_100799	http://monactifry.prod.apipro.groupe-seb.com/thumbs/original/8199.jpg		GS_FR	fr	Découpe en rosettes de choux fleur			
